Item,Quantity,UnitPrice,TotalCost
Bread,2,8.11,16.22
Bread,2,8.11,16.22
Milk,6,4.16,24.96
Coffee,7,8.39,58.73
Potato,10,4.97,49.7
Almond,3,4.34,13.02
Flour,4,6.39,25.56
Walnut,4,4.15,16.6
Onion,6,6.03,36.18
Milk,6,4.16,24.96
Onion,6,6.03,36.18
Almond,3,4.34,13.02
Almond,3,4.34,13.02
Bread,2,8.11,16.22
Flour,4,6.39,25.56
Bread,2,8.11,16.22
Flour,4,6.39,25.56
Almond,3,4.34,13.02
Onion,6,6.03,36.18
Onion,6,6.03,36.18
Almond,3,4.34,13.02
Milk,6,4.16,24.96
Milk,6,4.16,24.96
Walnut,4,4.15,16.6
Bread,2,8.11,16.22
Bread,2,8.11,16.22
Bread,2,8.11,16.22
Almond,3,4.34,13.02
Bread,2,8.11,16.22
Tomato,4,7.82,31.28
Bread,2,8.11,16.22
Ginger,10,1.31,13.1
Walnut,4,4.15,16.6
Almond,3,4.34,13.02
Walnut,4,4.15,16.6
Onion,6,6.03,36.18
Onion,6,6.03,36.18
Bread,2,8.11,16.22
Flour,4,6.39,25.56
Milk,6,4.16,24.96
Ginger,10,1.31,13.1
Milk,6,4.16,24.96
Onion,6,6.03,36.18
Walnut,4,4.15,16.6
Walnut,4,4.15,16.6
Potato,10,4.97,49.7
Coffee,7,8.39,58.73
Milk,6,4.16,24.96
Flour,4,6.39,25.56
Milk,6,4.16,24.96
Walnut,4,4.15,16.6
Potato,10,4.97,49.7
Bread,2,8.11,16.22
Potato,10,4.97,49.7
Milk,6,4.16,24.96
Coffee,7,8.39,58.73
Walnut,4,4.15,16.6
Coffee,7,8.39,58.73
Coffee,7,8.39,58.73
Almond,3,4.34,13.02
Walnut,4,4.15,16.6
Almond,3,4.34,13.02
Coffee,7,8.39,58.73
Almond,3,4.34,13.02
Coffee,7,8.39,58.73
Walnut,4,4.15,16.6
Milk,6,4.16,24.96
Walnut,4,4.15,16.6
Coffee,7,8.39,58.73
Walnut,4,4.15,16.6
Potato,10,4.97,49.7
Flour,4,6.39,25.56
Almond,3,4.34,13.02
Ginger,10,1.31,13.1
Flour,4,6.39,25.56
Milk,6,4.16,24.96
Onion,6,6.03,36.18
Ginger,10,1.31,13.1
Potato,10,4.97,49.7
Ginger,10,1.31,13.1
Walnut,4,4.15,16.6
Coffee,7,8.39,58.73
Ginger,10,1.31,13.1
Ginger,10,1.31,13.1
Tomato,4,7.82,31.28
Bread,2,8.11,16.22
Almond,3,4.34,13.02
Milk,6,4.16,24.96
Walnut,4,4.15,16.6
Ginger,10,1.31,13.1
Walnut,4,4.15,16.6
Coffee,7,8.39,58.73
Flour,4,6.39,25.56
Ginger,10,1.31,13.1
Potato,10,4.97,49.7
Milk,6,4.16,24.96
Milk,6,4.16,24.96
Almond,3,4.34,13.02
Bread,2,8.11,16.22
Potato,10,4.97,49.7
